,Category,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,General Consumer Index,78.02499999999999,79.91666666666667,81.575,82.51666666666667,84.01666666666667,85.63333333333333,87.08333333333333,90.05833333333334,91.23333333333333,93.34166666666665,95.91666666666667,98.21666666666665,98.99166666666667,99.55,100.0,100.25,101.4,102.22500000000001,103.0,103.43333333333334,105.35000000000001,113.45833333333333,117.20833333333334,118.10000000000001
1,Passenger transport by bus,78.01199800033328,79.90334944175972,81.56140643226131,82.50291618063657,84.0026662222963,85.61906348941844,87.06882186302283,90.04332611231463,86.86885519080155,89.91001499750044,90.91818030328281,94.92584569238461,97.81703049491752,99.00016663889352,100.0,100.35827362106318,100.60823196133978,101.96633894350944,104.03266122312951,105.17413764372606,105.89068488585237,106.26562239626729,111.33144475920682,116.0806532244626
2,Passenger transport by metro,78.02499999999999,79.91666666666667,81.575,82.51666666666667,84.01666666666667,85.63333333333333,87.08333333333333,90.05833333333334,86.88333333333334,89.92500000000001,90.93333333333334,94.94166666666666,97.83333333333333,99.01666666666665,100.0,100.8,100.8,101.62500000000001,105.14999999999999,112.87499999999999,113.91666666666667,112.53333333333335,116.06666666666668,121.6
3,Passenger transport by personal transportation,69.92750604116324,71.3440546621115,72.56061994833765,75.0020831597367,78.75177068577621,82.10149154237148,84.33463878010167,88.89259228397634,87.46771102408134,93.9671694025498,100.5666194483793,103.78301808182653,102.6331139071744,102.10815765352889,100.0,98.43346387801017,101.74152153987168,105.03291392383969,105.85784517956837,103.66636113657195,111.09907507707692,124.7812682276477,124.50629114240482,126.1894842096492
4,Passenger transport by sea,69.92750604116324,71.3440546621115,72.56061994833765,75.0020831597367,78.75177068577621,82.10149154237148,84.33463878010167,88.89259228397634,78.10182484792935,85.38455128739272,92.41729855845347,93.19223398050164,92.91725689525873,94.55878676776935,100.0,98.73343888009333,98.56678610115824,98.6834430464128,103.82468127656028,107.54103824681278,101.82484792933923,109.85751187401051,114.99875010415799,110.29080909924176
5,Passenger transport by taxi and rented car with driver,69.95082103859298,71.36784196049013,72.58481286988413,75.0270901058598,78.7780278402934,82.12886554972076,84.36275735600566,88.9222305576394,85.32966574977078,85.45469700758522,86.18821372009668,88.10535967325164,91.03942652329748,95.78227890305908,100.0,101.12528132033005,101.35867300158372,103.27581895473867,109.06059848295409,109.60240060015,106.9767441860465,119.87996999249813,129.96582478953073,133.03325831457863
6,Passenger transport by train,69.90420658059142,71.32028321532695,72.53644314868804,74.97709287796752,78.72553102873803,82.07413577675968,84.30653894210745,88.86297376093293,86.06413994169094,87.98833819241982,89.35443565181174,92.61974177426073,96.55976676384837,99.12536443148689,100.0,101.61599333610994,103.86505622657225,103.56518117451061,104.89795918367346,106.7971678467305,108.23823406913786,108.35485214493963,111.83673469387756,116.95127030403998
7,Personal transport by domestic flights,69.92750604116324,71.3440546621115,72.56061994833765,75.0020831597367,78.75177068577621,82.10149154237148,84.33463878010167,88.89259228397634,89.7591867344388,68.31097408549289,77.00191650695777,91.80901591534038,94.69210899091743,94.84209649195901,100.0,94.67544371302392,104.63294725439548,105.8161819848346,111.35738688442632,94.68377635197068,79.02674777101909,75.77701858178484,86.9427547704358,95.89200899925008
